,0,1,2
1090,开心/happiness, ,Mine yang dilamar sm bako malah gue yg seneng jingkrak jingkrak
1091,伤心/sadness, ,"Aku suka kamu, kamu suka dia, dia suka yang lain :)"
1092,开心/happiness, ,"Terimakasih, telah menjadikan apa-apa yang rahasia tetap jadi rahasia."
1093,开心/happiness, ,"Semoga 2020 banyak rezeki, dape kerjaa  yang lebih baik lagi aamiin"
1094,生气/anger, ,selamat tahun baru dan selamat menikmati banjir untuk kaum yang sering membuang sampah sembarangan
1095,开心/happiness, ,Semoga di tahun ini menjadi tahun yang bisa membanggakan dan berkesan 
1096,生气/anger, ,@kilo_romeo dasar kadrun... Kelompok bodoh yang ada di Indonesia ini..
1097,喜欢/like, ,"Gak perlu yang mewah, aku butuh sikap yang sederhana (˘⌣˘)ε˘`)"
1098,伤心/sadness, ,w0w AAMIIINNNNNNNNNNN! Semoga kita semua pun dibanjiri afeksi dan atensi dari yang terkasiu
1099,伤心/sadness, ,"yang di daerahnya lg kena banjir, stay safe guys! "
1100,开心/happiness, ,diawali dengan hari yang baik! gimana dengan mu?
1101,开心/happiness,喜欢/like,Tahun yang beda dengan orang yang sama. Semoga seterusnya gitu 
1102,喜欢/like, ,Suka banget sama orang yang kalo pertama kali kenal udah bisa bikin ketawa
1103,喜欢/like, ,Semoga setiap waktu yang berlalu menjadikan kita semakin hampir kepada Allah..
1104,伤心/sadness,害怕/fear,yang rumah nya kena banjir atau matilampu tetep hatihatii yaa!
1105,伤心/sadness, ,"Sudah sampai di 2020 diiringi air yang turun dari plafon, semoga berkah."
1106,开心/happiness, ,"Selamat tahun baru untuk Bapak Bripka Ambarita, yang lain tidak."
1107,伤心/sadness, ,Apa cuma daerah aku doang yang banjirnya makin tinggi :((
1108,开心/happiness, ,"yang pasti baek2 semuaaa, Mas. Happy New Year, ya "
1109,伤心/sadness, ,"apa kabar kaliann, yang kebanjirann semoga cepet surut yaa:(("
1110,喜欢/like, ,"Pengen segera pulang indo, pengen segera make jersey-jersey baru yang numpuk di toko"
1111,伤心/sadness, ,Teman-teman yang sedang kebanjiran. . semoga segera surut. 
1112,喜欢/like, ,"Hai #Wanita_Horny, Kau adalah yang terpenting dalam hidupku"
1113,开心/happiness, ,"Alhamdulillah, Titho! Awal yang baik, mudah2an tetap baik kedepannya ya.."
1114,伤心/sadness, ,Soalnya di timur juga banyak yang kena.  Alhamdulillah  tempat ku gak kena
1115,开心/happiness, ,Semoga di beri ketabahan dalam musibah yang terjadi sekarang ini
1116,伤心/sadness,厌恶/disgust,What anjir seriusan? Sumpah banyak banget yang terjadi haari ini pusing aku
1117,开心/happiness, ,"2020 akan menjadi tahun yang lebih baik lagi, Insha’Allah"
1118,伤心/sadness, ,Semoga keluarga yang tinggal di Jabodetabek aman dari bencana banjir
1119,开心/happiness, ,"Jangan sedih... Semoga Diberikan Peganti yang Lebih Baik,,, aamiin"
1120,开心/happiness, ,"Memang semua tak lagi sama, tapi percayalah, ini yang terbaik."
1121,惊喜/surprise, ,"Stay Safe teman teman yang terkena banjir, semoga selalu dilindungi oleh-NYA"
1122,开心/happiness, ,Aamiin Dan yang belum menikah semoga cepat bertemu jodoh dan menikah
1123,开心/happiness,喜欢/like,2019 terima kasih telah memberikan pembelajaran baru yang cukup banyak.
1124,伤心/sadness, ,Turut berduka cita untuk semua yang terkena musibah banjir :’(
1125,伤心/sadness,害怕/fear,stay safe ya! yang penting kamu dan keluarga kamu harus aman dulu
1126,伤心/sadness, ,"Stay safe yang kena banjir huhu serem banget weeh :"""
1127,开心/happiness, ,selamat tahun baru dan Tuhan Yesus memberkati bagi yang tidak merayakan.
1128,开心/happiness, ,"Ok thans,kau juga ya,semoga tercapai yang diinginkan"
1129,喜欢/like, ,"Mau dongg,, peluk aku please pengen banget ada yang peluk"
1130,伤心/sadness, ,"aku rindu kita yang dulu , aku benci kita yang sekarang "
1131,伤心/sadness, ,"Rangorang yang kebanjiran, gua yg ikut sedih  #banjir"
1132,伤心/sadness, ,"2020 diawali dengan, rinduuu sama orang yang udah ilang(:"
1133,开心/happiness, ,semoga dengan banyaknya bencana yang aku alami dapat membuatku kuat. Aamiin.
1134,伤心/sadness, ,semoga ga kena banjir ya allah parah bgt liat orang2 yang kena banjir
1135,伤心/sadness, ,"Tuhan,  yakinkan aku bahwa dia bukan yang terbaik untukKu"
1136,开心/happiness, ,Semoga di tahun ini kenyataan2 sesuai dengan apa yang di harapkan.
1137,伤心/sadness, ,Stay safe yang kebanjiran. Semoga lekas surut aamiin.
1138,伤心/sadness, ,"(nyampah) yang kebanjiran, sabar ya. semoga cepet surut :("
1139,开心/happiness, ,"Menyenangkan namun banyak hal yang juga menyedihkan ditahun 2019, Terimakasih pembelajarannya;"
1140,开心/happiness, ,Semoga yang baik baik didekatkan yang jahat dijauh kan yang belom sadar disadar kan
1141,开心/happiness, ,Innalillahi semoga bantuan segera datang dan korban2 diamankan ke tempat yang lebih baik
1142,惊喜/surprise, ,apanya???? yang??? lucu???? ava gue???
1143,开心/happiness, ,Terimakasih Hati yang udah mau diajak berkompromi dengan baik.
1144,开心/happiness, ,Selamat tahun baru untuk pribadi yang jauh lebih baik!
1145,开心/happiness, ,Amin sayang-sayangku. Yang kuat ya di tahun ini jugaa  happy new year my dearest
1146,开心/happiness, ,ya Tuhan semoga leeiyfelix menjadi pribadi yang lebih baik di 2020
1147,开心/happiness, ,Terimakasih Bandung buat 7 tahunnya yang sangat luar biasa ! :)
1148,开心/happiness, ,Lets start again. Semoga yang ada hanya sukacita.
1149,惊喜/surprise,厌恶/disgust,"kok ada ya, yang gak punya malu sedikitpun spt itu ??"
1150,生气/anger, ,"allahu, takut yang Jan dapat pergi pastu Feb confirm tak dapattt "
1151,伤心/sadness, ,Alhamdulilah dah 2020 dan aku dijauhkan dengan orang yang bukan milik aku :)
1152,伤心/sadness, ,Aku terlalu egois buat kamu yang terlalu sabar :’)
1153,开心/happiness, ,Semoga hati aku tenang dan kuat dalam cabaran dan dugaan yang mendatang...
1154,伤心/sadness, ,"Kalean yang didaerah nya lagi banjir, semoga cepet surut ya:"""
1155,开心/happiness, ,Semoga tahun ini diberikan sabar dan ikhlas yang lebih dr tahun lalu.
1156,伤心/sadness, ,Ini yang banjir dom mana aja? Stay safe yaa
1157,伤心/sadness, ,stay safe ya yang kebanjiran. semoga lekas surut!
1158,开心/happiness, ,"Semangat ya, semoga diberikan pengganti yang lebih baik aamiin"
1159,开心/happiness, ,Pengalaman :) yang sangat saaaangat menyenaNkan #LDK #thanKs
1160,开心/happiness, ,2020 semoga segala tes yang saya ikuti lolos semua aamiin 
1161,喜欢/like, ,"Kangen kamu, kamu senyummu, kangen kebiasaanmu. Kangen kebersamaan kita yang sederhana tetapi mampu membuat kita bahagia ​​​"
1162,伤心/sadness, ,Semoga yang kebanjiran senantiasa diberikan ketabahan dan terhindar dari wabah penyakit. :(
1163,喜欢/like, ,Cehh Steffy_ai senyuman mu manis seperti apel merah yang manis :)
1164,开心/happiness, ,"Semoga di tahun 2020, saya tidak lagi kehilangan orang-orang yang kusayangi."
1165,开心/happiness, ,Semoga yang di semogakan di tahun ini menjadi kenyataan amiin
1166,伤心/sadness, ,"buat yang rumahnya kena banjir stay safe ya, semoga airnya cepet surut"
1167,开心/happiness, ,Semoga tahun ini nemu yang bisa diajak berbagi rasa. #2020PacarBaru
1168,开心/happiness, ,Terimakasih indoxxi yang telah menemaniku selama tidak punya uang dan mager pergi ke bioskop
1169,喜欢/like, ,"Aku bukan aku yang dulu, namun cintaku seperti dulu"
1170,伤心/sadness, ,"hai moots ku yang rumahnya kena banjir, stay safe yaa semua!"
1171,开心/happiness, ,"Tahun ini, ingin jadi pribadi yang lebih baik dalam segala aspek. Aamiin"
1172,伤心/sadness, ,"Maaf, mungkin aku orang terburuk dari mereka yang pernah singgah di hatimu"
1173,伤心/sadness, ,"buat yang kena banjir, stay safe ya teman teman!!"
1174,伤心/sadness, ,"Semoga daerah yang terkena banjir, banjirnya segera surut."
1175,开心/happiness, ,"Gamau doa punya temen banyak, maunya dikelilingi temen yang baik-baik, insyaallah ya"
1176,开心/happiness, ,Aamiin makasih yaa semoga tahun ini menjadi tahun yang berkah juga!!  
1177,伤心/sadness, ,Buat yang kebanjiran longsor ataopun angin gedhe hujan nggal berhenti² stay safe ya kaliann 
1178,开心/happiness, ,"Semoga 2020 jadi yang lebih baik, selesai semua masalah idup"
1179,伤心/sadness, ,"aku mau juga dong, tlg yang punya dm akuu:("
1180,开心/happiness, ,2020 ; Semoga aku menjadi orang yang mampu memberi manfaat kpd org lain.
1181,开心/happiness, ,Selamat hari rabu untuk dia yang selalu dianggap penting bagimu
1182,伤心/sadness, ,"Semoga banjirnya cepet surut, kasian yang rumahnya pada kebanjiran."
1183,开心/happiness, ,"Tuhan tidak kemana-mana, akunya saja yang kemana-mana. Semoga 2020 menjadi lebih baik "
1184,开心/happiness, ,Semoga menjadi tahun yang jauh lebih baik dari tahun tahun sebelumnya 
1185,伤心/sadness, ,"Hal pertama yang dilakukan di 2020, minum obat.  Tragis"
1186,伤心/sadness, ,"lekas surut yang kena banjir, stay safe ya semuanya #BanjirJakarta"
1187,开心/happiness, ,Semoga semakin menjadi orang yang berguna bagi orang lain dan sekitar
1188,开心/happiness, ,"yang berdoa ""2020,please be nice"" AOWKAOW MAKAN TU BANJIRAN"
1189,开心/happiness, ,"Semoga menjadi pribadi yang lebih baik lagi, amin."
1190,开心/happiness, ,Selamat tahun baru! Semoga yang disemogakan tahun ini kecapaian semua yaaaa
1191,惊喜/surprise, ,Apanya yang si itu gitu begitu????
1192,开心/happiness, ,"terimakasih 2019, telah mengajarkan arti kehidupan yang sesungguhnya. i miss you bapa "
1193,伤心/sadness, ,"Heran, manusia sesempurna km ada aja yang menyianyiakan :("
1194,开心/happiness, ,"Awal yang baik, semoga bertemu dengan yang baik."
1195,喜欢/like, ,Dalam benakku hanya ada bayangan semu yang selalu memikirkan kamu :')
1196,伤心/sadness,害怕/fear,"yang kena banjir sabar yaaa hati-hati jugaaa, semoga pertanda akn banjir rezeki jugaa hehe"
1197,伤心/sadness, ,2020 dimulai dengan mati lampu dan banjir. Semoga yang lain aman2 ya
1198,喜欢/like, ,"Percaya. Jika kita ikhlas, pasti Tuhan kan memberikan balasan yang lebih baik"
1199,伤心/sadness, ,"mereka yang bikin ulah, tapi aku yang malu :("
1200,伤心/sadness, ,"Temen-temen yang rumahnya kena banjir, semoga lekas surut yaa! "
1201,开心/happiness, ,Wah kok trending topiknya #banjir nih... Semoga diberi kesehatan dan keselamatan buat saudara² yang terdampak....
1202,开心/happiness, ,"Wkwk, okee semoga nemu orang yang tepat yaaa! *mundur selangkah*"
1203,伤心/sadness, ,Nah kann itu yang td kepikiran sm aku :((
1204,生气/anger,惊喜/surprise,what... ada yang nyalahin Tuhan??!?!?!
1205,喜欢/like, ,"Aku mencintaimu dengan terlalu, seperti hujan bulan Juni yang menghantam bumi karena rindu"
1206,开心/happiness, ,Selamat hari rebahan wahai warga Twitter yang berbahagia  #rebahanpertamadi2020
1207,伤心/sadness, ,"Baru kali ini ada customer yang kecewa, sedih banget"
1208,开心/happiness, ,selamat tahun baru untuk teman-temanku. yang bukan temanku selamat ulang tahun.
1209,开心/happiness, ,"Kakak ayu pol eh, semoga mendapat yang terbaik nantinya!"
1210,开心/happiness, ,"makasi kak pirda, moga masuk ptn yang diinginkan !"
1211,伤心/sadness, ,Gais sekarang depan rumah gw yang banjir:((
1212,开心/happiness, ,Aaminnn makasih banyak widya aku doakan yang terbaik untuk kamu juga
1213,喜欢/like, ,iya kamu yang warna biru soalnya akunya gemes banget sama kamu 
1214,喜欢/like, ,* Allah selalu memberikan yang terbaik kepada mereka yang menyerahkan pilihan itu kepadaNya
1215,开心/happiness, ,Alhamdulillah dah masuk tahun 2020 harini semoga apa yang diazamkan dapat ditunaikan nanti
1216,伤心/sadness, ,Hal terburuk pertama yang aku sadarin di 2020 ini;sendirian.
1217,开心/happiness, ,Semoga semoga semoga dan banyak semoga lainnya yang dipanjatkan hari ini kepadamu.
1218,开心/happiness, ,"Semoga selalu di dekatkan dengan orang orang yang baiknya tulus, bukan cuma cuma "
1219,生气/anger, ,ini tetangga yang di bawah main game pake speaker apa gimana sih BERISIK BANGET
1220,开心/happiness, ,Terimakasih 2019 yang telah memberi banyak kenangan di dalam nya :
1221,喜欢/like, ,"“Hargai jasa orang yang pernah menolongmu. Sekecil apa pun, agar rezekimu semakin terbuka” #MDO"
1222,伤心/sadness, ,Stay save yang kena banjir semoga cepet surut air nya 
1223,开心/happiness, ,"Feyaaa. Semoga menjadi pribadi yang lebih baik lagi ya ditahun 2020, selalu bahagia!♡♡"
1224,开心/happiness, ,Semoga jadi pribadi yang lebih baik lagi dan rejeki tambah lancar
1225,害怕/fear, ,Takut banget sama buaya..aku berharap ketika uas nanti yang ngawas bukan buaya
1226,伤心/sadness, ,"Banyak yang banjir ih, sabar ya semoga cepet surut seyeng2"
1227,开心/happiness, ,Semoga tegar ditahun yang baru dan dikehidupan yang baru.
1228,开心/happiness, ,"aamiin, semoga kita brng2 dpt ptn yang kita mau yaa"
1229,伤心/sadness, ,"yang sedang dikeadaan banjir semoga cepat surut, yg sakit cepat pulih, yg sehat tetap kuat"
1230,开心/happiness, ,Doaku untukmu semoga tetap menjadi orang yang lebih baik lagi.. aminn 
1231,开心/happiness, ,Alhamdulillah. Permulaan tahun baru yang positif. Gaji naik 
1232,开心/happiness, ,2020...Bismillah...semoga menjadi tahun yang lebih baik
1233,伤心/sadness, ,Sehat sehat temen temen yang kebanjiran. Selamatin diri sendiri 
1234,喜欢/like, ,Aku hanya ingin bersama orang yang bener-bener sayang sama aku dan takut kehilangan aku. â™¥ï¸ ##BotZidanCreative
1235,开心/happiness, ,Semoga makin bisa memilah mana yang penting mana yang ngga 
1236,伤心/sadness, ,Semoga yang ketimpa banjir semoga airnya cepetcepet surut da kasian :(
1237,开心/happiness, ,Selamat liburan teman teman yang libur. Selamat bekerja teman teman yang kerja
1238,伤心/sadness, ,"stay safe ya kalian yang rumahnya lagi kebanjiran , doa terbaik buat kalian semua "
1239,惊喜/surprise, ,Beneran kaga ada yang jadian nih?????
1240,开心/happiness, ,"Aamiin,,,semangat di tahun yang baru ini"
1241,伤心/sadness,害怕/fear,"Temen temen yang kena musibah stay safe yaa, jangan sampe sakitt"
1242,喜欢/like, ,2020 : ingin hidup dan berteman dengan yang mau mau saja:)
1243,开心/happiness, ,Bismillah 2020 dapet kerjaan yang bagus dan mapan. Aamiin
1244,伤心/sadness, ,"Sampai kapan pun aku sendirian tak ada yang menemani ,,"
1245,伤心/sadness, ,"Semangat teman teman yang rumahnya kebanjiran , *salaman biar gak slek* "
1246,开心/happiness, ,"Happy new year mutuall. semoga 2020 menjadi tahun yang bersahabat, ya."
1247,伤心/sadness, ,"Untuk daerah-daerah yang kebanjiran, semoga cepat surut banjirnya."
1248,开心/happiness, ,"happy new yearr, semoga hal-hal yang baik datang di tahun ini"
1249,伤心/sadness, ,Mutualku banyaj yang kebajiran kah??? Semoga cepet surut yaa
1250,开心/happiness, ,"Selamat tahun baru, siap2 menghadapi ujian idup yang baru alias selamat berkarya~"
1251,开心/happiness, ,"thankyou 2019 , bener2 banyak berkat yang tidak terduga yang Tuhan berikan (:"
1252,开心/happiness, ,Selamat tahun baru! Semoga apa yang direncanakan segera tercapai \--/
1253,开心/happiness,喜欢/like,Semoga Allah melindungi negeri kita dari semua keburukan yang mereka usahakan
1254,开心/happiness, ,"2020, semoga tidak ada lagi hati yang tersakiti!"
1255,伤心/sadness, ,semoga semua kesedihan yang kemarin gak terulang lagi ya Allah aamiinnn
1256,喜欢/like, ,"Terima kasih, untuk aku yang masih bisa bertahan dari liku kehidupan. Bandung"
1257,开心/happiness, ,"Semoga tahun ini banyak perasaan yang tersampaikan, dan rindu yg terbalaskan."
1258,伤心/sadness, ,demi apa ini gua doang yang banjir? sedih amad :(
1259,开心/happiness, ,Awal tahun baru yang adem semoga ini menjadi representasi kehidupan di 2020 ya Aaamiiin
1260,开心/happiness, ,"Terimakasih atas nasihat dan sarannya yang sudah membuat hati terluka,"
1261,开心/happiness, ,2020 : semoga dapet jawaban yang terbaik dari semua kenapa :)
1262,开心/happiness, ,Selamat taun baru semuwanya dr ak yang ketiduran di menit menit terakhir taun baru
1263,开心/happiness, ,Buatlah hidup ini menjadi suatu ibadah. Selamat menjalani hidup yang lebih berkualitas.
1264,伤心/sadness, ,Semoga yang rumahnya kenak banjir barang2nya kagak ada yang ilang/rusak
1265,喜欢/like, ,Gue memohon diberi kesehatan dan uang yang berlimpah. Dah itu yg utama.
1266,开心/happiness, ,Hal yang paling nikmat dalam malam tahun baru hanyalah tidur wkwkwk
1267,开心/happiness, ,Semoga tahun 2020 dan tahun-tahun mendatang akan jadi tahun yang terbaik untuk “kita” amin~
1268,伤心/sadness, ,Mutualku yang kebnjiran stay safe yaa.. semoga banjirnya cepet surut..
1269,伤心/sadness, ,Stay safe buat yang daerahnya hujan  ttp menjaga diri dan setidaknya mempersiapkan jjga 
1270,开心/happiness, ,"Semoga jadi manusia yang lebih baik, target semua tercapai, target perhari juga"
1271,伤心/sadness, ,ada yang rumahnya kena banjir? aman gak? semoga cepat surut ya
1272,喜欢/like,开心/happiness,"Terima kasih untuk hal-hal yang buruk di tahun 2019, kalian menguatkan"
1273,开心/happiness, ,Trimakasih akuu sudah berjuanggggg di 2019 yang BENER BENER DAH AH ASTAGHFIRULLAHAL ADZIMMMM
1274,伤心/sadness, ,apa cuma saya yang kudet ngga bisa buat barcode? o(╥﹏╥)
1275,开心/happiness, ,Semoga di tahun baru ini banyak pencapaian baru juga yang didapat 
1276,开心/happiness, ,Selamt pagi selamat hari rabu di tahun baru yang di awali dengan hujan deras
1277,开心/happiness, ,Terimakasih tahun 2019 semoga tahun 2020 ini banyak cerita yang lebih menyenangkan ya aamiin
1278,开心/happiness, ,Happy new year semuanya!  Semoga tahun ini menjadi tahun yang baik ya! 
1279,伤心/sadness, ,"abis akutu bingung, nungguin rumah yang kebanjiran :("
1280,开心/happiness, ,"Done, hbd ya... Semoga apa yang diinginkan cepat terwujud amin.. wml"
1281,喜欢/like, ,"Tuhan, jadikan hamba pribadi yang selalu berfikir dan bertidak pada jalanMu."
1282,开心/happiness, ,semoga 2020 bikin gue jadi pribadi yang lebih baik lagi! 
1283,开心/happiness, ,2019: Sudah sembuh dari sakit dan kecewa yang dibuat sendiri :)
1284,开心/happiness, ,"Semoga ditahun 2020 segala urusanku lancar, diberi kesehatan dan rezeki yang lancar aamiin"
1285,开心/happiness, ,"Sabar, karena terkadang itu akan membawa kita pada sesuatu yang lebih baik."
1286,喜欢/like, ,"Aku suka yang di masakan padang, enak banget :"")"
1287,喜欢/like, ,Semoga hujan yang panjang ini jadi berkah buat semua ya Allah
1288,喜欢/like, ,"Semua yang kita ikhlaskan, tidak akan sia² begitu saja. #Yakin karo Gusti Allah "
1289,伤心/sadness, ,Stay safe ya kaaakk semoga gaada yang kenapa2 dan cepet2 dateng bantuan
1290,喜欢/like, ,"Iya selain view nya yang bagus dan dingin, makanannya sunda banget"
1291,喜欢/like, ,Ini emang enak banget daripada yang asli T ^ T
1292,喜欢/like, ,"Suka banyak! Watchlist yang udah aku tonton lumayan banyak, Mbak."
1293,伤心/sadness, ,Ini yang lagi terkena banjir stay safe yaa semoga banjir nya cepet surut Aamiin
1294,伤心/sadness, ,Semangat semua yang ada di Jakarta dan sekitarnya. Stay safe everyone.
1295,伤心/sadness, ,"Stay safe teman-temanku yang terkena banjir, semoga tetap terus dalam lindungan-Nya."
1296,开心/happiness, ,Semoga di tahun yang baru ini kita semua dijauhkan dari segala marabahaya. Amin
1297,开心/happiness, ,Selamat buat pemenang.. dan semoga selanjutnya saya yang bruntung dapat untuk kedua kalinya
1298,害怕/fear, ,Serem banget yang sampe uler masuk dalam keadaan banjir..........
1299,开心/happiness, ,awal taun udah di kasih rejeki yang berlimpah.. Alhamdulillah...
1300,开心/happiness, ,Semoga apa yang kita perjuangkan membuahkan hasil untuk kedepannya.. Aamiin 
1301,喜欢/like, ,Ya Allah hindarkan aku dari orang-orang yang suka mengulur-ulur waktu.
1302,伤心/sadness, ,"Be safe untuk semua yang terkena banjir. Siapapun, dimanapun..."
1303,伤心/sadness, ,alhamdulillah aman. jiejie aman kan? jkt doang yang banjir ya kayaknyaa
1304,伤心/sadness, ,"dah new year pun ada lagi orang yang buat i sedih ""("
1305,开心/happiness, ,semoga ditahun yang baru aku bisa jadi neza yang lebih baik lagi
1306,开心/happiness, ,Semoga di tahun baru ini tercapai apa yang belum terwujud di tahun 2019 amin
1307,伤心/sadness,害怕/fear,"yang rumahnya kebanjiran, hati hati ya, jangan sampe sakit:'("
1308,伤心/sadness, ,Semoga ditahun 2020 tidak ada yang memberi harapan palsu pada diri kalian 
1309,喜欢/like, ,alhamdulillah hujan. jadi gaada yang dar der dor lagi
1310,伤心/sadness, ,"Stay safe buat yang disana ya kak , semoga cepet surut banjirnya"
1311,开心/happiness, ,Selamat ya yang lahirnya tanggal 29 Februari tahun ini bisa ulang tahun.
1312,伤心/sadness,害怕/fear,Hati2 yang terkena banjir.. ular dan mahluk2 lainnya bisa merasuki rumah kalian..
1313,喜欢/like, ,Cinta sejati adalah ketika hatimu dan pikiranmu mengatakan hal yang sama. #CintaTop
1314,开心/happiness, ,Masih baik-baik saja dan semoga kedepan ada perubahan yang lebih baik lagi
1315,喜欢/like, ,mau summer package 2016 yang di dubai itu kk  wish me luck 
1316,开心/happiness, ,semoga di 2020 tidak terlibat lagi dengan drama drama yang tidak penting
1317,开心/happiness, ,"Harapan tahun 2020, semoga tidak bertemu teman yang menggantikan peran tuhan."
1318,开心/happiness, ,Alhamdulillah menyenangkan juga dan dengan tahun yang baru semangat juga baru hehe
1319,开心/happiness, ,1 Januari 2020. Semoga menjadi awal dari tahun yang gemilang.
1320,伤心/sadness, ,Stay safe temen2 yang di jkt dsk yang terkena #banjir 
1321,伤心/sadness, ,semoga yang dilanda banjir cepat surut dan bisa beraktivitas kembali ya kawan
1322,开心/happiness, ,Semangat faras. Jangan sedih. Mungkin tahun ini bakal nemu yang spesial
1323,开心/happiness, ,"Semoga tahun ini menjadi awal yang baik buat aku:"")"
1324,开心/happiness, ,"2020, apa yang disemogakan tercapai lebih dari semoga."
1325,开心/happiness, ,"Happy new year, Sab! Semoga 2020 menjadi tahun yang baik."
1326,伤心/sadness, ,Semoga yang terkena banjir bisa segera surut dan semuanya aman2 aja 
1327,伤心/sadness, ,kebanjiran :( semoga pertanda rejeki yang tidak putus putus.....
1328,开心/happiness, ,Selamat tahun baru eonnie♡♡♡ doa yang sama untuk eonnie♡ semangat menjalani hidup selama 366 hari!!!
1329,害怕/fear, ,dan daerah yang biasanya jadi tempat banjir mengalir kini jadi proyek kereta cepat...
1330,伤心/sadness, ,"yang di jakarta, stay safe ya, terutama yg kebanjiran daerahnya semoga cepat surut "
1331,开心/happiness, ,"Terima kasih sudah mau, semoga tidak menjadi pertemuan yang terakhir"
1332,伤心/sadness, ,kangen yang kangen gua aja lah sekarang mah. pasrah aja gua :(
1333,开心/happiness, ,Semangat untuk tim-tim yang membantu proses evakuasi korban banjir Jabodetabek 
1334,喜欢/like, ,`yang seneng amat gituin rambut adek~ (っ ́ω`c)♡
1335,伤心/sadness, ,Kenapa grabfood gada yang mau ambil :( laper akutu
1336,惊喜/surprise, ,Mereka berdua kan gak ada yang pinter????
1337,喜欢/like, ,"Gua suka sama cewe yang minisetnya terbuka , enak buat diajak bertukar pikiran."
1338,伤心/sadness, ,"Turut berduka bagi semua warga yang terkena musibah banjir,semoga diberikan ketabahan aamiin "
1339,伤心/sadness, ,Turut berduka yang wilayah rumahnya terkena banjir. Kamu kuat.
1340,开心/happiness, ,Suara mesin yang bikin nostalgia dengan beliau.. Selamat tahun baru.
1341,开心/happiness, ,"Bye 2019 yang penuh drama, semoga drama ditahun 2019 bisa dijadiin pelajaran"
1342,生气/anger,惊喜/surprise,bangsul? awal taun 2020 udh ada aja nih yang ngomngin jk?
1343,开心/happiness, ,Aku punya banyak harapan di 2020. Jadi tahun yang baik ya
1344,开心/happiness, ,Semoga 2020 menjadi tahun yang penuh kabar baik rencana terlaksana doa terkabul aamiin
1345,开心/happiness, ,Semoga 2020 bisa jadi pribadi yang lebih baik ya byul
1346,伤心/sadness, ,"Semangat untuk semua elemen masyarakat yang mengatasi banjir, terkhususnya kepada abang abang PLN"
1347,开心/happiness, ,tahun ini semoga menjadi pribadi yang lebih baik lagi dari tahun sebelumnyà
1348,开心/happiness, ,Terima kasih 2019 telah menjadi pelajaran yang tidak pantas untuk disesali :)
1349,开心/happiness, ,Semangatku di awal tahun yang baru: sama aja. Kayak kemarin-kemarin.
1350,伤心/sadness, ,temen2 ada yang di wilayahnya banjir? stay safe ya
1351,开心/happiness, ,jadi pribadi yang lebih baik dr sblmnya sudah cukup. semoga bisa!
1352,开心/happiness, ,Sukses untuk 2020 mas toppie! Semoga yang diinginkan tercapai semua
1353,伤心/sadness, ,Stay safe untuk semua teman-teman dan kota-kota yang sedang banjir.
1354,喜欢/like, ,pengen punya pasangan yang bersyukur bisa dapetin aku):
1355,伤心/sadness, ,"Hati hati buat yang rumahnya sedang kebanjiran, semoga cepet surut banjirnya ya."
1356,伤心/sadness, ,Ya ampun aku sendiri :( gada yang mau gandengan sana aku apa
1357,开心/happiness, ,"Semoga selalu sehat dan bahagia, dan bisa kuliah di ptn yang diimpikan"
1358,开心/happiness, ,2020 semoga benar2 dateng yang baru yang benar2 kumau.
1359,伤心/sadness, ,13.02 banjir dimana mana alhamdulillah belum ada yang mengkritik pemerintah
1360,开心/happiness,喜欢/like,terima kasih untuk semua peran yang masuk dalam 365 halaman di tahun ini
1361,伤心/sadness, ,Semoga cepat surut banjirnyaa. Kasian yang kebanjiran Ya Allah..  #Banjir
1362,开心/happiness, ,semoga terjadi sesuatu yang indah dan tak terlupakan di 2020 ini ya Tuhan
1363,喜欢/like, ,Tak ada yang bisa ku lakukan selain melihat dan membuatmu bahagia.
1364,开心/happiness, ,"2020 angka yang bagus, semoga aja menjadi tahun yang bagus juga "
1365,伤心/sadness,害怕/fear,Stay safe teman-temanku yang rumahnya kebanjiran. Apakah kalian aman?
1366,开心/happiness, ,"2020, diawali mimpi yang sangat indah, Masya Allah"
1367,伤心/sadness, ,Awal dari tahun 2020 menjadi awal yang buruk buat gua
1368,开心/happiness, ,"Masih bersyukur yg turun aer, bayangin klo api yang semalem?~"
1369,伤心/sadness, ,Alhamdulillah KotWis aman. Semoga cepet surut temen temen yang kena banjir 
1370,开心/happiness, ,Selamat tahun baru juga. Semoga yang terbaik datang di 2020
1371,开心/happiness, ,semoga 2020 jadi tahun yang membahagiakan dan lebih baik dari tahun sebelumnya aamiin
1372,伤心/sadness, ,Masalahnya yang mau ngajak seriusnya aja masih abu abu:(((
1373,伤心/sadness,害怕/fear,"Enggaa:(( iyaa kasiann, aku yang liat langsung pun takut:”)"
1374,伤心/sadness, ,Staysafe buat kalian di daerah yang terkena banjir. Hati-hati banyak cobra
1375,开心/happiness, ,Tahun baru dengan semangat baru untuk meraih pencapaian yang baru
1376,伤心/sadness, ,Stay safe ya teman-teman yang di Jakarta. Semoga segera surut.
1377,开心/happiness, ,"Semoga yang naik tahun ini IPK, bukan berat badan :)"
1378,喜欢/like, ,Jatuh cinta padamu adalah perasaan yang tidak pernah bisa aku jelaskan. #TweetDSAP
1379,开心/happiness, ,"2020 cuman pengen hidup sehat, rejeki yang banyak, berkah dan bermanfaat."
1380,开心/happiness, ,2019 yang luar biasa. 2020 harus lebih luarbiasa(:
